NUMERO;NOME;BRINCOELETRONICO;SEXO;DTNASCIMENTO;CDCATEGORIAINICIAL;ORIGEM;NOME_1;RACA1;PERCENTUAL1;
374;Barita;;F;03/03/2008;5;nascido;Novilha;Holandês;100;
375;Barra;;F;03/03/2008;5;nascido;Vaca;Holandês;100;
376;Baru;;F;05/03/2008;5;nascido;Vaca;Holandês;100;
377;Bata;;F;05/03/2008;5;nascido;Vaca;Holandês;100;
1552;Peruca;;F;13/05/2021;5;nascido;Vaca;Holandês;100;
378;Batata;;F;07/03/2008;5;nascido;Vaca;Holandês;100;
379;Batida;;F;07/03/2008;5;nascido;Novilha;Holandês;100;
BLUFF;Bluff;;M;;;nascido;;Holandês;100;
380;Batuta;;F;09/03/2008;5;nascido;Vaca;Holandês;100;
381;Baxa;;F;13/03/2008;5;nascido;Vaca;Holandês;100;
382;Bazuca;;F;14/03/2008;5;nascido;Vaca;Holandês;100;
383;Beija;;F;15/03/2008;5;nascido;Vaca;Holandês;100;
384;Beiroa;;F;15/03/2008;5;nascido;Novilha;Holandês;100;
385;Bela;;F;18/03/2008;5;nascido;Vaca;Holandês;100;
386;Beleza;;F;22/03/2008;5;nascido;Vaca;Holandês;100;
387;Belga;;F;03/04/2008;5;nascido;Vaca;Holandês;100;
388;Belila;;F;13/04/2008;5;nascido;Novilha;Holandês;100;
389;Beliz;;F;13/04/2008;5;nascido;Vaca;Holandês;100;
390;Berí;;F;17/04/2008;5;nascido;Novilha;Holandês;100;
391;Beroba;;F;19/04/2008;5;nascido;Vaca;Holandês;100;
392;Beta;;F;19/04/2008;5;nascido;Novilha;Holandês;100;
393;Biaba;;F;22/04/2008;5;nascido;Novilha;Holandês;100;
394;Bica;;F;25/04/2008;5;nascido;Vaca;Holandês;100;
395;Bicuda;;F;01/05/2008;5;nascido;Vaca;Holandês;100;
396;Bienal;;F;05/05/2008;5;nascido;Vaca;Holandês;100;
397;Biga;;F;07/05/2008;5;nascido;Vaca;Holandês;100;
398;Bil;;F;09/05/2008;5;nascido;Vaca;Holandês;100;
399;Bilola;;F;10/05/2008;5;nascido;Vaca;Holandês;100;
400;Binga;;F;26/05/2008;5;nascido;Vaca;Holandês;100;
401;Biriba;;F;11/06/2008;5;nascido;Vaca;Holandês;100;
402;Bita;;F;24/06/2008;5;nascido;Vaca;Holandês;100;
